Name,Price,Category,Date,From,Recurring
Gig,9,Transportation,"Jun 30, 2021",Venmo,No
Memos,7.59,Food,"Jun 30, 2021",Credit,No
Subway,9.03,Food,"Jun 30, 2021",Credit,No
Rent,1219.77,Housing,"Jun 30, 2021",Credit,Yes
Gig,6.64,Transportation,"Jun 29, 2021",Debit,No
Chipotle,11.52,Food,"Jun 29, 2021",Credit,No
Sumo Sushi,16.84,Food,"Jun 29, 2021",Credit,No
Hawaii Jeep,87.35,Vacation,"Jun 28, 2021",Venmo,No
Shake Shack,11.19,Food,"Jun 28, 2021",Credit,No
Fob Poke Bar,16.53,Food,"Jun 28, 2021",Credit,No
Lyft,2.61,Transportation,"Jun 27, 2021",Venmo,No
Tamari Bar,14.5,Food,"Jun 27, 2021",Venmo,No
Malatang,15.22,Food,"Jun 27, 2021",Credit,No
Chipotle,11.63,Food,"Jun 27, 2021",Credit,No
Jack-in-the-Box,6.61,Food,"Jun 27, 2021",Credit,No
Subway,6.06,Food,"Jun 26, 2021",Credit,No
Silver Chain,10.39,Clothing,"Jun 25, 2021",Venmo,No
Samurai Noodle ,15.99,Food,"Jun 25, 2021",Credit,No
Memos,7.59,Food,"Jun 25, 2021",Credit,No
Spotify,4.99,Service,"Jun 24, 2021",Credit,Yes
Mr. Lu,15.44,Food,"Jun 24, 2021",Credit,No
NBA 2K21,10.99,Gift,"Jun 23, 2021",Venmo,No
Hawaiian BBQ,15.39,Food,"Jun 23, 2021",Credit,No
Memos,7.59,Food,"Jun 23, 2021",Credit,No
Chipotle,11.52,Food,"Jun 22, 2021",Credit,No
Lyft,13.43,Transportation,"Jun 21, 2021",Venmo,No
Dick's,11.13,Food,"Jun 21, 2021",Credit,No
Din Tai Fung Gift,24.53,Gift,"Jun 21, 2021",Credit,No
Manao Thai,12.68,Food,"Jun 21, 2021",Credit,No
McDonald's,8.1,Food,"Jun 20, 2021",Venmo,No
Paseo,13.16,Food,"Jun 20, 2021",Credit,No
Udon,9.93,Food,"Jun 20, 2021",Credit,No
